currentid   ICAO_type
9M-JPD      BE20            
9M-KNS      BE20            
9M-ORS      C208            
9M-PSG      PC6T            
9M-PSH      PC6T            
9M-PSI      PC6T            
9M-PSK      PC6T            
9M-PSL      C208            
9M-PSM      C208            
9M-PSN      C208            
9M-PSO      C208            
9M-PSP      C208            
9M-PSQ      C208            
9M-PTA      B350            
9M-PTB      B350            
9M-PTC      B350            
9M-PTD      B350            
9M-PTE      B350            
9M-TDM      PAY4            
9M-TSH      P180            
9M-VEV      P180            
9M-WSC      B350            
9M-WSD      B350            
9M-ZAA      BE20            
M101-01     B350            
M101-02     B350            
M41-01      BE20            
M41-04      BE20            
9N-AJF      P750            
9Q-CAE      BN2P            
9Q-CBU      AC68            
9Q-CCG      BE9L            
9Q-CJA      BN2P            
9Q-CMM      BN2P            
9Q-CRP      BN2P            
9S-CWZ      BE20            
9S-EEM      C208            
9S-EMA      C208            
9S-EMC      C208            
9S-EMO      C208            
9S-EMP      C208            
9S-EMZ      C208            
9S-GAA      G159            
9S-GAB      G159            
9S-GAY      B350            
9S-GIN      VTOR            
9S-GOD      BE20            
9S-GTH      G159            
9XR-GW      BN2P            
1808        C208            
1812        C208            
A2-         C208            
A2-         C208            
A2-AFN      BN2P            
A2-AGA      BN2P            
A2-AGO      BE20            
A2-AHZ      BE20            
A2-AJA      BN2P            
A2-AKH      C208            
A2-AKK      C208            
A2-AKO      C208            
A2-ASD      BE20            
A2-AST      C208            
A2-BUF      C208            
A2-CAM      C208            
A2-CEL      BE20            
A2-CHL      C208            
A2-CRC      C208            
A2-EGL      C208            
A2-FRS      C208            
A2-GNU      C208            
A2-IMP      C208            
A2-KYS      C208            
A2-LAR      C208            
A2-LEO      C208            
A2-LKE      C208            
A2-LZD      C208            
A2-MBB      C208            
A2-MBL      BE20            
A2-MBR      C208            
A2-MBS      C208            
A2-MEG      C208            
A2-MVF      PC12            
A2-MXI      BE20            
A2-NAS      C208            
A2-OKA      C208            
A2-OKB      C208            
A2-OKC      C208            
A2-OKD      C208            
A2-OKE      C208            
A2-OKF      C208            
A2-OKG      C208            
A2-OKH      C208            
A2-OKI      C208            
A2-OKJ      C208            
A2-OKK      C208            
A2-OKL      C208            
A2-OKM      C208            
A2-OKN      C208            
A2-OKS      C208            
A2-OKT      C208            
A2-OKU      C208            
A2-OKV      C208            
A2-OKW      C208            
A2-SSB      BE9L            
A2-TRG      PC12            
A2-WLD      C208            
A2-ZED      BN2P            
BW-1        B350            
BPS-25      B360            
MD-1        BN2P            
OB1         BE20            
WK-1        KODI            
DS-2        PC12            
DS-3        PC12            
OA5         BN2P            
OA6         BN2P            
OA7         BN2P            
OA8         BN2P            
OA9         BN2P            
OA10        BN2P            
OA11        BN2P            
OA12        BN2P            
A3-PAS      BN2P            
A6-         C208            
A6-         PC6T            
A6-         B350            
A6-FNG      C208            
A6-MIG      PC12            
DU-333      PC6T            
835         BE9L            
836         BE9L            
837         BE9L            
838         BE9L            
839         BE9L            
840         BE9L            
1207        P180            
1208        P180            
2235        KODI            
2240        C208            
2241        C208            
2242        C208            
2243        C208            
2244        C208            
2245        C208            
2249        C208            
2252        C208            
2254        C208            
2256        C208            
2257        C208            
2260        C208            
2264        C208            
4000        P750            
A7-SEA      C208            
A7-SEE      C208            
EL-RML      BN2P            
N110PE      C208            
AP-BFK      F406            
AP-BIY      BN2P            
AP-BJJ      BN2P            
